VarA;VarB;VL_exp;L_exp;M_exp;H_exp;VH_exp;VL_calc;L_calc;M_calc;H_calc;VH_calc;Brier
VarA;VarB;VarC;VL_exp;L_exp;M_exp;H_exp;VH_exp;VL_calc;L_calc;M_calc;H_calc;VH_calc;Brier
VL;VH;VL;0;1;0;0;0;0,42000;0,57600;0,00400;0,00000;0,00000;0,07124
VH;VL;VL;1;0;0;0;0;0,42000;0,57600;0,00400;0,00000;0,00000;0,13364
VL;VL;VH;1;0;0;0;0;0,42000;0,57600;0,00400;0,00000;0,00000;0,13364
VL;VH;VH;0;1;0;0;0;0,03500;0,81000;0,15500;0,00000;0,00000;0,01227
VH;VL;VH;0;1;0;0;0;0,03500;0,81000;0,15500;0,00000;0,00000;0,01227
VH;VH;VL;0;1;0;0;0;0,03500;0,81000;0,15500;0,00000;0,00000;0,01227
